╔══════════════════════════════════════════════════════════════════════════════╗
║                    ZPL/EPL Rendering Diff Report                            ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ Name                           │ Ext  │    Diff% │   Actual(WxH) │ Expected(WxH) │ Status       ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ amazon                         │ zpl  │    5.78% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ aztec_ec                       │ zpl  │    8.07% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ barcode128_default_width       │ zpl  │    0.72% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_line                │ zpl  │    0.23% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_line_above          │ zpl  │    0.26% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_mode_a              │ zpl  │    0.72% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_mode_d              │ zpl  │    2.90% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ barcode128_mode_n              │ zpl  │    0.72% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_mode_n_cba_sets     │ zpl  │    1.40% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ barcode128_mode_u              │ zpl  │    3.32% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ barcode128_rotated             │ zpl  │    0.23% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ bstc                           │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ dbs                            │ zpl  │    9.69% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ dhlecommercetr                 │ zpl  │    5.47% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ dhlpaket                       │ zpl  │    8.53% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ dhlparceluk                    │ zpl  │    5.98% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ dpdpl                          │ zpl  │    7.60% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ dpduk                          │ epl  │    5.83% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ ean13                          │ zpl  │    0.88% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ encodings_013                  │ zpl  │    2.18% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ fedex                          │ zpl  │   18.26% │      813x1626 │      813x1626 │ HIGH(>=15%)  ║
║ gb_0_height                    │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ gb_0_width                     │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ gb_normal                      │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ gb_rounded                     │ zpl  │    0.07% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ glscz                          │ zpl  │    4.25% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ glsdk_return                   │ zpl  │    7.11% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ gs                             │ zpl  │    1.01% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ icapaket                       │ zpl  │    5.14% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ jcpenney                       │ zpl  │    7.18% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ kmart                          │ zpl  │    8.75% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ labelary                       │ zpl  │    9.84% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ pnldpd                         │ zpl  │   13.58% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ pocztex                        │ zpl  │    7.94% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ porterbuddy                    │ zpl  │   13.79% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ posten                         │ zpl  │    4.74% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ qr_code_ft_manual              │ zpl  │    3.00% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ qr_code_offset                 │ zpl  │    1.69% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ return_qrcode                  │ zpl  │    6.08% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ reverse                        │ zpl  │    0.79% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ reverse_qr                     │ zpl  │    2.98% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ swisspost                      │ zpl  │    1.94% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ templating                     │ zpl  │    4.89% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ text_fallback_default          │ zpl  │    4.66% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ text_fo_b                      │ zpl  │    0.11% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_fo_i                      │ zpl  │    0.11% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_fo_n                      │ zpl  │    0.10% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_fo_r                      │ zpl  │    0.10% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_ft_auto_pos               │ zpl  │    1.55% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ text_ft_b                      │ zpl  │    0.04% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_ft_i                      │ zpl  │    0.04% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_ft_n                      │ zpl  │    0.14% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_ft_r                      │ zpl  │    0.15% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_multiline                 │ zpl  │    0.68% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
